Sample,Na_mg.kg,Mg_mg.kg,P_mg.kg,K_mg.kg,Ca_mg.kg,Fe_mg.kg,Co_mg.kg,Cu_mg.kg,Zn_mg.kg,Rb_mg.kg,Sr_mg.kg,Ba_mg.kg,Pb_mg.kg,U_mg.kg
Japan_10a,2709,899,8368,14319,10459,6.73,-0.0001,8.89,37.38,26.31,3.38,0.86,0.57,-0.0001
Japan_10b,2729,977,7226,12069,10863,5.42,-0.0001,9.32,32.16,25.26,4.09,1.07,0.78,-0.0001
Japan_11a,2648,848,6789,14000,10874,4.65,-0.0001,8.46,30.97,27.24,3.51,1.13,0.64,-0.0001
Japan_11b,2776,845,7939,12514,8910,4.64,-0.0001,9.37,30.11,25.55,2.65,0.85,0.87,-0.0001
Japan_12a,2731,872,8765,12932,10928,5.43,-0.0001,7.87,32.85,26.53,2.77,0.91,0.8,-0.0001
Japan_12b,2755,895,7206,12769,10183,5.2,-0.0001,9.07,30.76,27.96,3.6,0.84,0.56,-0.0001
Japan_13a,2972,891,7148,14554,11183,5.51,-0.0001,8.91,32.18,26.98,3.71,1.12,0.78,-0.0001
Japan_13b,2988,870,8120,12400,9056,4.67,-0.0001,8.44,34.97,27.09,3.83,0.95,0.68,-0.0001
Japan_14a,2922,947,8732,12375,10185,5.61,-0.0001,15.96,38.17,45.93,2.1,0.96,1.01,-0.0001
Japan_14b,2471,1006,7958,12277,10139,5.66,-0.0001,15.72,36.71,46.57,2.06,0.82,0.82,-0.0001
Japan_15a,2418,896,8531,13143,10895,6.36,-0.0001,13.07,38.67,50.32,2.34,0.95,1,-0.0001
Japan_15b,2601,987,8589,14213,9607,6.35,-0.0001,16.17,33.66,49.94,2.42,0.87,0.68,-0.0001
Japan_1a,2917,972,8793,14954,9825,6.16,-0.0001,10.4,38.46,50.19,2.35,0.93,1.01,-0.0001
Japan_1b,2762,860,7499,15093,10182,6.4,-0.0001,14.37,34.66,42.82,2.24,0.94,1.01,-0.0001
Japan_2a,2767,899,8584,12257,9630,6.9,-0.0001,8.98,31.01,25.34,4.05,1.17,0.84,-0.0001
Japan_2b,3046,879,7873,14149,10319,6.62,-0.0001,7.45,33.95,26.73,3.86,1.14,0.86,-0.0001
Japan_3a,2859,987,7187,12516,9991,5.15,-0.0001,8.09,35.62,27.42,3.63,1.13,0.6,-0.0001
Japan_3b,2768,982,7262,13453,10643,5.13,-0.0001,9.29,36.1,27.58,4.34,1.17,0.91,-0.0001
Japan_4a,3010,962,7960,14321,11018,5.08,-0.0001,8.09,37.96,25.16,2.81,0.96,0.8,-0.0001
Japan_4b,2857,985,8740,14460,10235,5.48,-0.0001,8.86,37.17,27.43,3.3,1.08,0.79,-0.0001
Japan_5a,2733,954,8025,14797,9149,4.62,-0.0001,9.35,37.83,24.9,2.83,1.19,0.96,-0.0001
Japan_5b,2692,925,6932,13644,9552,6.91,-0.0001,8.38,32.65,25.42,3.45,0.93,0.76,-0.0001
Japan_6a,2902,864,8333,12359,10915,6.31,-0.0001,15.41,38.48,53.12,2.28,0.88,0.79,-0.0001
Japan_6b,2971,874,7505,12632,9761,5.21,-0.0001,16.33,38.59,52.12,2.28,0.86,0.84,-0.0001
Japan_7a,2833,945,8025,14976,10906,5.32,-0.0001,16.56,37.93,50.48,2.31,0.97,0.97,-0.0001
Japan_7b,2994,956,8675,14367,10241,5.68,-0.0001,12.7,34.16,48.93,2.09,0.94,1.01,-0.0001
Japan_8a,2657,971,8099,12042,10277,5.68,-0.0001,14.45,32.44,45.8,2.1,0.79,0.67,-0.0001
Japan_8b,2756,1024,8503,13493,10023,5.11,-0.0001,17.41,34.85,48.23,2.33,0.9,0.91,-0.0001
Japan_9a,2655,882,7605,12873,10693,5.11,-0.0001,11.93,35.69,46.93,2.45,0.8,0.82,-0.0001
Japan_9b,2888,947,7636,14292,10374,6.35,-0.0001,17.47,37.16,52.06,2.44,0.8,1.01,-0.0001
Pakistan_1a,2362,744,6834,11094,8787,18.09,0.0933,15.65,35.31,16.79,2.72,0.95,1.1,0.054
Pakistan_1b,2372,761,7225,10981,8670,24.64,0.1195,16.07,34.14,16.61,3.12,0.72,1.38,0.2016
Pakistan_2a,2363,751,6879,11150,8545,12.08,0.1141,12.33,33.04,16.77,3.05,0.83,1.21,0.0572
Pakistan_2b,2341,793,6914,11125,8462,46.76,0.1167,11.57,33.97,16.36,3.3,0.91,1.17,0.0085
Pakistan_3a,2359,790,6860,11073,8407,2.92,0.0967,16.15,32.25,16.59,2.58,0.9,1.07,0.0917
Pakistan_3b,2192,738,7301,11131,8214,19.99,0.0984,10.72,35.34,16.57,3.27,0.89,1.05,0.1947
Pakistan_4a,2229,787,7238,10993,8191,54.72,0.0931,16.17,33.74,16.36,2.94,0.99,1.06,0.0393
Pakistan_4b,2218,784,7216,11156,8286,43.59,0.1183,10.73,34.66,16.91,2.65,0.98,1.15,0.0235
Pakistan_5a,2200,746,6729,11079,8796,6.25,0.1093,17.56,37.04,16.81,3.25,0.92,1.12,0.115
Pakistan_5b,2253,773,6842,10972,8353,56.64,0.096,16.6,36.81,16.54,3.02,0.67,1.13,0.0598
Pakistan_6a,2294,791,7182,11128,8300,15.08,0.1201,17.03,35.09,16.61,2.83,0.87,1.08,0.0898
Pakistan_6b,2176,788,6713,11004,8733,11.56,0.1024,12.16,36.82,16.59,2.76,0.76,1.02,0.0302
Pakistan_7a,2221,770,7100,10988,8902,28.59,0.1068,15.76,36.54,16.78,2.65,0.96,1.28,0.0232
Pakistan_7b,2223,739,7261,10959,8196,1.31,0.0997,12.71,34.03,16.55,2.91,0.79,1.36,0.0232
Pakistan_8a,2188,765,6821,10981,8709,9.04,0.0903,15.15,36.36,16.46,2.7,0.66,1.04,0.0736
Pakistan_8b,2367,762,7351,10931,8457,24.37,0.106,15.46,35.87,16.62,2.71,0.93,1.39,0.0232
Thai_1a,5293,1381,11457,16949,13739,5.63,-0.0001,16.87,27.3,12.45,3.62,0.9,0.74,-0.0001
Thai_1b,4993,1294,11304,16114,12960,7.16,-0.0001,10.2,41.65,12.65,4.3,0.93,0.89,-0.0001
Thai_2a,5306,1232,11278,17314,13455,6.58,-0.0001,34.28,74.15,12.51,4.62,0.96,0.78,-0.0001
Thai_2b,5270,1246,11274,18347,13952,7.09,-0.0001,32.66,75.4,12.67,4.7,0.76,0.54,-0.0001
Thai_3a,5113,1229,11056,17907,13210,5.75,-0.0001,14.35,46.21,12.85,4.6,1.1,0.6,-0.0001
Thai_3b,5137,1354,11171,16187,13499,6.65,-0.0001,33.05,32.83,12.23,4.65,1.07,1.05,-0.0001
Thai_4a,5031,1256,11227,15951,13297,6.42,-0.0001,10.04,29.99,12.72,3.64,0.92,0.71,-0.0001
Thai_4b,4767,1364,11160,17725,13133,6.51,-0.0001,15.33,71.09,11.99,3.9,1.11,0.48,-0.0001
Thai_5a,5278,1281,11722,17839,13604,6.54,-0.0001,14.99,62.06,12.69,4.36,0.77,0.61,-0.0001
Thai_5b,4945,1297,10341,16402,13538,6.77,-0.0001,31.63,68.19,11.91,4.02,0.88,0.48,-0.0001
Thai_6a,5294,1263,10712,17743,13607,5.74,-0.0001,18.07,52.97,12.45,4.58,0.78,0.41,-0.0001
Thai_6b,5264,1374,10165,16829,13291,6.68,-0.0001,26.04,41.88,11.84,4.6,1.11,0.72,-0.0001
Thai_7a,5416,1384,11300,18240,12722,6.56,-0.0001,23.06,31.4,11.87,4.59,0.87,1.02,-0.0001
Thai_7b,5265,1253,11660,18051,13447,6.44,-0.0001,8.58,25.2,12.82,3.44,0.79,0.73,-0.0001
Thai_8a,4882,1368,10604,16402,12763,6.19,-0.0001,12.87,50.55,12.6,3.95,0.97,0.91,-0.0001
Thai_8b,4795,1370,10199,18190,13575,6.9,-0.0001,22.43,47.75,11.52,3.38,1,1.16,-0.0001
Group 1_a,2993,947,8186,12712,9994,6.38,-0.0001,10.44,33.5,43.36,2.19,0.83,0.88,-0.0001
Group 1_b,2789,989,8585,14876,10130,6.36,-0.0001,12.34,33.38,43.77,2.07,0.93,0.8,-0.0001
